Titre de tracé : 20011418;;;
#;Date;Heure  GMT+02:00;Moy. : Température  °C (LGR S/N: 20011418)
171;07/30/2020;12:00:00;23.581
172;07/30/2020;14:00:00;23.677
173;07/30/2020;16:00:00;23.004
174;07/30/2020;18:00:00;19.948
175;07/30/2020;20:00:00;15.187
176;07/30/2020;22:00:00;13.846
177;07/31/2020;00:00:00;12.980
178;07/31/2020;02:00:00;12.207
179;07/31/2020;04:00:00;11.334
180;07/31/2020;06:00:00;10.846
181;07/31/2020;08:00:00;12.787
182;07/31/2020;10:00:00;17.760
183;07/31/2020;12:00:00;21.473
184;07/31/2020;14:00:00;23.869
185;07/31/2020;16:00:00;23.004
186;07/31/2020;18:00:00;20.234
187;07/31/2020;20:00:00;18.140
188;07/31/2020;22:00:00;16.141
189;08/01/2020;00:00:00;14.709
190;08/01/2020;02:00:00;13.750
191;08/01/2020;04:00:00;12.980
192;08/01/2020;06:00:00;12.401
193;08/01/2020;08:00:00;13.461
194;08/01/2020;10:00:00;18.616
195;08/01/2020;12:00:00;22.908
196;08/01/2020;14:00:00;26.292
197;08/01/2020;16:00:00;26.488
198;08/01/2020;18:00:00;22.812
199;08/01/2020;20:00:00;19.853
200;08/01/2020;22:00:00;16.903
201;08/02/2020;00:00:00;15.187
202;08/02/2020;02:00:00;13.942
203;08/02/2020;04:00:00;12.883
204;08/02/2020;06:00:00;12.110
205;08/02/2020;08:00:00;13.269
206;08/02/2020;10:00:00;16.046
207;08/02/2020;12:00:00;18.236
208;08/02/2020;14:00:00;22.142
209;08/02/2020;16:00:00;20.996
210;08/02/2020;18:00:00;19.092
211;08/02/2020;20:00:00;16.713
212;08/02/2020;22:00:00;15.282
213;08/03/2020;00:00:00;14.421
214;08/03/2020;02:00:00;13.654
215;08/03/2020;04:00:00;12.207
216;08/03/2020;06:00:00;11.431
217;08/03/2020;08:00:00;12.110
218;08/03/2020;10:00:00;15.091
219;08/03/2020;12:00:00;17.284
220;08/03/2020;14:00:00;18.901
221;08/03/2020;16:00:00;14.996
222;08/03/2020;18:00:00;14.421
223;08/03/2020;20:00:00;12.207
224;08/03/2020;22:00:00;9.768
225;08/04/2020;00:00:00;8.879
226;08/04/2020;02:00:00;8.382
227;08/04/2020;04:00:00;7.582
228;08/04/2020;06:00:00;7.179
229;08/04/2020;08:00:00;6.877
230;08/04/2020;10:00:00;11.139
231;08/04/2020;12:00:00;16.141
232;08/04/2020;14:00:00;18.616
233;08/04/2020;16:00:00;18.616
234;08/04/2020;18:00:00;14.517
235;08/04/2020;20:00:00;11.722
236;08/04/2020;22:00:00;10.063
237;08/05/2020;00:00:00;8.978
238;08/05/2020;02:00:00;8.082
239;08/05/2020;04:00:00;7.582
240;08/05/2020;06:00:00;7.079
241;08/05/2020;08:00:00;8.282
242;08/05/2020;10:00:00;14.996
243;08/05/2020;12:00:00;19.948
244;08/05/2020;14:00:00;23.100
245;08/05/2020;16:00:00;24.158
246;08/05/2020;18:00:00;20.615
247;08/05/2020;20:00:00;16.046
248;08/05/2020;22:00:00;14.038
249;08/06/2020;00:00:00;12.497
250;08/06/2020;02:00:00;11.334
251;08/06/2020;04:00:00;10.553
252;08/06/2020;06:00:00;9.866
253;08/06/2020;08:00:00;11.236
254;08/06/2020;10:00:00;17.284
255;08/06/2020;12:00:00;22.717
256;08/06/2020;14:00:00;25.513
257;08/06/2020;16:00:00;26.195
258;08/06/2020;18:00:00;22.812
259;08/06/2020;20:00:00;17.950
260;08/06/2020;22:00:00;15.951
261;08/07/2020;00:00:00;14.421
262;08/07/2020;02:00:00;13.173
263;08/07/2020;04:00:00;12.304
264;08/07/2020;06:00:00;11.722
265;08/07/2020;08:00:00;12.883
266;08/07/2020;10:00:00;19.377
267;08/07/2020;12:00:00;24.545
268;08/07/2020;14:00:00;28.655
269;08/07/2020;16:00:00;29.352
270;08/07/2020;18:00:00;25.513
271;08/07/2020;20:00:00;19.948
272;08/07/2020;22:00:00;17.379
273;08/08/2020;00:00:00;15.760
274;08/08/2020;02:00:00;14.517
275;08/08/2020;04:00:00;13.558
276;08/08/2020;06:00:00;12.497
277;08/08/2020;08:00:00;13.846
278;08/08/2020;10:00:00;20.424
279;08/08/2020;12:00:00;26.292
280;08/08/2020;14:00:00;28.953
281;08/08/2020;16:00:00;30.054
282;08/08/2020;18:00:00;26.000
283;08/08/2020;20:00:00;21.473
284;08/08/2020;22:00:00;18.426
285;08/09/2020;00:00:00;16.523
286;08/09/2020;02:00:00;15.282
287;08/09/2020;04:00:00;14.325
288;08/09/2020;06:00:00;13.365
289;08/09/2020;08:00:00;14.230
290;08/09/2020;10:00:00;21.187
291;08/09/2020;12:00:00;25.805
292;08/09/2020;14:00:00;28.357
293;08/09/2020;16:00:00;26.390
294;08/09/2020;18:00:00;23.966
295;08/09/2020;20:00:00;20.901
296;08/09/2020;22:00:00;19.187
297;08/10/2020;00:00:00;17.379
298;08/10/2020;02:00:00;15.855
299;08/10/2020;04:00:00;15.091
300;08/10/2020;06:00:00;14.325
301;08/10/2020;08:00:00;14.517
302;08/10/2020;10:00:00;18.521
303;08/10/2020;12:00:00;26.879
304;08/10/2020;14:00:00;27.370
305;08/10/2020;16:00:00;21.091
306;08/10/2020;18:00:00;17.950
307;08/10/2020;20:00:00;15.664
308;08/10/2020;22:00:00;14.325
309;08/11/2020;00:00:00;13.461
310;08/11/2020;02:00:00;13.076
311;08/11/2020;04:00:00;12.207
312;08/11/2020;06:00:00;11.819
313;08/11/2020;08:00:00;12.013
314;08/11/2020;10:00:00;17.379
315;08/11/2020;12:00:00;22.238
316;08/11/2020;14:00:00;23.196
317;08/11/2020;16:00:00;20.615
318;08/11/2020;18:00:00;18.711
319;08/11/2020;20:00:00;17.379
320;08/11/2020;22:00:00;15.855
321;08/12/2020;00:00:00;14.230
322;08/12/2020;02:00:00;13.173
323;08/12/2020;04:00:00;12.401
324;08/12/2020;06:00:00;11.722
325;08/12/2020;08:00:00;12.207
326;08/12/2020;10:00:00;16.903
327;08/12/2020;12:00:00;21.473
328;08/12/2020;14:00:00;23.869
329;08/12/2020;16:00:00;22.429
330;08/12/2020;18:00:00;19.187
331;08/12/2020;20:00:00;17.189
332;08/12/2020;22:00:00;15.760
333;08/13/2020;00:00:00;14.996
334;08/13/2020;02:00:00;14.325
335;08/13/2020;04:00:00;13.654
336;08/13/2020;06:00:00;13.173
337;08/13/2020;08:00:00;12.883
338;08/13/2020;10:00:00;17.475
339;08/13/2020;12:00:00;17.189
340;08/13/2020;14:00:00;19.187
341;08/13/2020;16:00:00;17.665
342;08/13/2020;18:00:00;15.951
343;08/13/2020;20:00:00;14.421
344;08/13/2020;22:00:00;13.461
345;08/14/2020;00:00:00;11.819
346;08/14/2020;02:00:00;11.722
347;08/14/2020;04:00:00;10.944
348;08/14/2020;06:00:00;10.944
349;08/14/2020;08:00:00;11.334
350;08/14/2020;10:00:00;15.569
351;08/14/2020;12:00:00;19.758
352;08/14/2020;14:00:00;19.853
353;08/14/2020;16:00:00;18.616
354;08/14/2020;18:00:00;16.332
355;08/14/2020;20:00:00;14.900
356;08/14/2020;22:00:00;13.365
357;08/15/2020;00:00:00;12.207
358;08/15/2020;02:00:00;11.236
359;08/15/2020;04:00:00;10.455
360;08/15/2020;06:00:00;9.669
361;08/15/2020;08:00:00;10.259
362;08/15/2020;10:00:00;16.046
363;08/15/2020;12:00:00;19.758
364;08/15/2020;14:00:00;21.378
365;08/15/2020;16:00:00;20.424
366;08/15/2020;18:00:00;17.189
367;08/15/2020;20:00:00;14.804
368;08/15/2020;22:00:00;13.365
369;08/16/2020;00:00:00;12.207
370;08/16/2020;02:00:00;11.431
371;08/16/2020;04:00:00;10.651
372;08/16/2020;06:00:00;10.063
373;08/16/2020;08:00:00;10.553
374;08/16/2020;10:00:00;15.187
375;08/16/2020;12:00:00;17.570
376;08/16/2020;14:00:00;20.710
377;08/16/2020;16:00:00;19.662
378;08/16/2020;18:00:00;17.855
379;08/16/2020;20:00:00;15.760
380;08/16/2020;22:00:00;13.750
381;08/17/2020;00:00:00;12.594
382;08/17/2020;02:00:00;12.013
383;08/17/2020;04:00:00;11.139
384;08/17/2020;06:00:00;11.041
385;08/17/2020;08:00:00;10.748
386;08/17/2020;10:00:00;16.903
387;08/17/2020;12:00:00;19.853
388;08/17/2020;14:00:00;18.426
389;08/17/2020;16:00:00;17.189
390;08/17/2020;18:00:00;15.855
391;08/17/2020;20:00:00;14.038
392;08/17/2020;22:00:00;12.401
393;08/18/2020;00:00:00;12.013
394;08/18/2020;02:00:00;11.625
395;08/18/2020;04:00:00;11.139
396;08/18/2020;06:00:00;10.651
397;08/18/2020;08:00:00;10.651
398;08/18/2020;10:00:00;15.664
399;08/18/2020;12:00:00;19.567
400;08/18/2020;14:00:00;18.521
401;08/18/2020;16:00:00;18.236
