;species;year;BER_carrelet;BER_carrelet_rip;BER_clapier;BER_lac1;BER_lac2;EYCH_meleze;EYCH_torr_ABCD;EYCH_torr_EFG;MAUR_arpont;MAUR_planay_haut;MAUR_planay_torr_ABCD;MAUR_planay_torr_EFGH;VALL_gla_bl;VALL_mor_bas;VALL_mor_haut_ABCD;VALL_mor_haut_DE;VILL_bas;VILL_haut
Helianthemum nummularium;Hel_num;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium morisianum;Hie_mor;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium piliferum;Hie_pil;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Hieracium umbrosum;Hie_sp1;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hieracium sp.;Hie_sp2;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hippophae rhamnoides;Hip_rha;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Imperatoria ostruthium;Imp_ost;2018;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
Jacobaea incana;Jac_inc;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
Juncus trifidus;Jun_tri;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Larix decidua;Lar_dec;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon hispidus;Leo_his;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Leontodon pyrenaicus;Leo_pyr;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leontodon sp.;Leo_sp.;2018;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
Leucanthemopsis alpina;Leu_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1
Lotus alpinus;Lot_alp;2018;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;1
Luzula spicata;Luz_spi;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Melampyrum pratense;Mel_pra;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minuartia laricifolia;Min_lar;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1
Minuartia sedoides;Min_sed;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
Myosotis alpestris;Myo_alp;2018;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Oxtryopis campestris;Oxt_cam;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pilosella officinarum;Pil_off;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Pilosella sp.;Pil_sp.;2018;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Plantago maritima ssp. serpentina;Pla_ser;2018;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Poa alpina;Poa_alp;2018;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1
Poa cenisia;Poa_cen;2018;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
Poa nemoralis;Poa_nem;2018;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Poa sp.;Poa_sp.;2018;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Polytrichum sp.;Pol_sp.;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0
Potentilla verna;Pot_ver;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Rhinanthus minor;Rhi_min;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rosa sp.;Ros_sp.;2018;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Rumex scutatus;Rum_scu;2018;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0
Sagina glabra;Sag_gla;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0
Salix breviserrata;Sal_bre;2018;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix daphnoides;Sal_dap;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix eleagnos;Sal_ele;2018;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix purpurea;Sal_pur;2018;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Salix sp.;Sal_sp.;2018;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga aizoides;Sax_aiz;2018;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Saxifraga exarata;Sax_exa;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Saxifraga moschata;Sax_mos;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Saxifraga paniculata;Sax_pan;2018;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
Sedum album;Sed_alb;2018;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sedum alpestre;Sed_alp;2018;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Sedum dasyphyllum;Sed_das;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sedum montanum;Sed_mon;2018;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;0;0
Sempervivum arachnoideum;Sem_ara;2018;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;1
Sempervivum montanum;Sem_mon;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
