species;year;BER_carrelet;BER_carrip;BER_claphp;BER_lacrip;BER_lactor;EYCH_meleze;EYCH_torr1;EYCH_torr2;STANDRE_arpont;STANDRE_plah;STANDRE_plabABCD;STANDRE_plabEFGH;VALL_glabl;VALL_morba;VALL_morhautABC;VALL_morhautDE;VILL_bas;VILL_haut
Poa sp;2018;;;;;;;;;2;;;;;;;;;
Polygala sp. ;2018;;;;;;;;;;;;;;;;;;
Polytrichum sp.;2018;;;;;;;;;;;;;;1;6;+;5;
Potentille verna;2018;;;;;;1;;;;;;;;;;;;
Rhinanthus minor;2018;;;;;;;;;;;;;;;;;;
Rosa sp.;2018;;;;+;;+;;;;;;;;;;;;
Rumex scutatus;2018;;;;;;;;NA;;1;1;;;;;;;
Sagina glabra;2018;;;;;;;;;;;2;+;;;1;;;
Salix breviserrata;2018;+;;;;;;;;;;;;;;;;;
Salix daphnoides;2018;;;;;;;;;;;;;;;;;;
Salix eleagnos;2018;;;1;8;2;;;;;;;;;;;;;
Salix purpurea;2018;;;;+;;;;;;;;;;;;;;
Salix sp.;2018;;;;;2;;;;;;;;;;;;;
Saxifraga aizoides;2018;;;;;;;;;;;1;;;;;;;
Saxifraga bryoides;2018;;;;;;;;;;;;;;;;;;
Saxifraga exarata;2018;;;;;;;;;;;;;;;;;;1
Saxifraga moschata;2018;;;;;;;;;;;;;;;;;;
Saxifraga paniculata;2018;;;;;;1;;;;;;;1;;;;;
Sedum album;2018;;;;;;4;;;;;;;;;;;;
Sedum alpestre;2018;;;;;;;;;;;+;;1;;;;;
Sedum dasyphyllum;2018;;;;;;;;;;;;;;;;;;
Sedum montanum;2018;;;;;;1;1;;;;;;1;;+;;;
Sempervivum arachnoideum;2018;;5;;5;;4;;;;;;;;4;;;5;1
Sempervivum montanum;2018;;;;;;;;;;;;;;;;;;
Silene acaulis bryoides;2018;;;;;;;;;;;;;;;;;;3
Silene otites;2018;;15;;;;;;;;;;;;;;;;
Silene vulgaris prostrata;2018;;;;;;;;;NA;1;;;;;;;;
Solidago virgaurea;2018;;;;;;;;;;;;;;;;;;
Sorbus aria;2018;;;;;;;;;;;;;;;;;;
Taraxacum sp.;2018;;;;;;;;;;;2;;;;;;2;
Thesium alpinum;2018;;;;;;;;;;;;;;;;;;
Thesium sp. ;2018;;+;;+;;;;;;;;;;;;;;
Thymus pullegiodes;2018;;;;NA;;2;;;45;;;;;4;2;+;;7
Tolpis staticifolia;2018;;+;;;5;;1;NA;;;1;;15;;;2;;
Trifolium badium;2018;;;;;;;;;;3;5;15;;;;;;5
Trifolium pratense villosum;2018;;;;;;;;;;+;;;;;;;;
Trifolium pallescens;2018;;+;;;+;8;NA;;5;1;;+;;+;;;8;12
Trifolium saxatile;2018;5;+;8;;2;2;1;NA;5;15;5;15;8;8;4;2;3;6
Trifolium thalii;2018;;;;;;;;;;;;;3;;7;;;
Tussilago farfara;2018;;;;;;;;;;15;;2;;;;;;
Veronica aphylla;2018;;;;;;;;;;;;;;;;;;1
Veronica fruticans;2018;;+;;;;2;;;;;;;8;3;6;;;3
Veronica sp.;2018;;;;;;;;;;;;+;;;;;;
Vincetoxicum hirrudinaria;2018;;;;;;+;;;;;;;;;;;;
Achillea nana;2021;;;;;;;;;;;;;;;3;;1;
Achillea distans;2021;;;;;;;;;;;1;;;;;;;
Achnatherum calamagrostis;2021;;;;;;;;1;;;;;;;;;;
Agrostis alpina;2021;;;;;;;;;;;;;;;;;;6
Agrostis rupestris;2021;;;;;;;;;;+;1;;;;+;+;6;
Agrostis sp. ;2021;;;;;;;;;;;;;;;;;;
Ajuga sp. ;2021;;;;;;;;;;;;;;;;;;
Alchemilla alpigena;2021;;;;;;3;;;1;;;;+;;1;10;;
Alchemilla fissa;2021;;;;;;;;;;;2;;;;;;;
Alchemilla sp.;2021;;;;;;;;;;;;;;;;;;
Alchemilla sp.2;2021;;;;;;;;;;;;;;;;;;
Alchemilla transiens;2021;;;;;;;;;;;1;;;;;;;
Alnus viridis;2021;;;;;;;;;;;;;;;;;;
Androsace adfinis;2021;;;;;;;;;;;;;;;+;;;
Anthoxatum odoratum;2021;;;;;;;;;2;;;;;;;;;
Anthyllis vulneraria;2021;;;;;;+;;;15;;4;17;;;;;;
Arabis alpina;2021;;;;;;;;;;;;;;;;;;
Arenaria sp.;2021;;;;;;;;;;;;;;;;;;
Artemisia umbelliformis;2021;;;;;;;;;;;;;;;;;;+
Asperula cynanchica;2021;;;;;;1;;;;;;;;;;;;
Betula pendula;2021;;;;;;;;;;;;;;;;;;
Biscutella laevigata;2021;;;;;;1;1;;;;;;;;;;;
Botrychum lunaria;2021;;;;;;;;;;;;;;;+;+;+;1
Campanula cochlearifolia;2021;;;;;;;;;;;1;;;;;;;2
Campanula rotundifolia;2021;;;;;;;;;;;;;;;;;;
Campanula scheuchzeri;2021;;;;;;1;;;;1;;;2;;;;;
Cardamine alpina;2021;;;;;;;;;;;;;;;;;;
Cardamine resedifolia;2021;;;;;;;;;;;;;;;;+;1;
Carduus defloratus;2021;;;;;;;;;;+;;;;;;;;1
Carex ferruginea;2021;;;;;;;;;;;3;;;;;;;
Centaurea nervosa;2021;;;;;;;;;;;;;;;;;;
Cerastium alpinum;2021;;;;;;;;;;;;;;;;;;
Cerastium arvense;2021;;;;;;;;;;+;+;+;1;;;;1;
Cerastium fontanum;2021;;;;;;;;;;;;2;;;;;;
Cirsium sp. ;2021;;;;;;;;;;;1;;;;;;;
Clinopodium alpinum;2021;;;;;;;+;;;;;;;;;;;
Coincya richeri;2021;;;;;;;;;;;;;;;;;;
Deschampsia cespitosa;2021;;;;;;;;;;;1;20;;;;;;
Deschampsia flexuosa;2021;;;;;;10;;;;;;;;2;;;;
Dianthus saxicola;2021;;;;;;1;;;;;;;;;;;;
Draba siliquosa;2021;;;;;;;;;;;;;;;;;;
Epilobium dodonaei;2021;;;;;;;;;;;;;;;;;;
Epilobium fleischeri;2021;;;;;;;5;;;;;;;+;;;;
Epilobium collinum;2021;;;;;;;;;;+;+;;;;;;;
Equisetum arvense;2021;;;;;;;;;;;5;10;;;;;;
Equisetum sp.;2021;;;;;;;;;;;;;;;;;;
Erigeron sp.;2021;;;;;;;;;;;;;;;;;;
Erigeron uniflorus;2021;;;;;;;;;;;;;;;2;;;2
Euphorbia cyparissias;2021;;;;;;;;;;;;;;;;;;
Euphrasia alpina;2021;;;;;;;;;;;;;;;;;;
Euphrasia minima;2021;;;;;;;;;;;;1;;;+;;;2
Euphrasia salizburgensis;2021;;;;;;+;;;+;;;;;+;;;;
Festuca sp.;2021;;;;;;;1;;12;;;;;;;;;
Festuca quadriflora;2021;;;;;;;;;;;;;;24;;;2;25
Festuca rubra gp.;2021;;;;;;12;;1;;;;+;;;;;;
Festuca violacea;2021;;;;;;;;;;;;;4;;5;+;1;
Galium obliquum;2021;;;;;;1;;;2;;;;;;;;;
Galium pumilum;2021;;;;;;;;1;;;;;;;;;;
Galium sp.;2021;;;;;;;;;;;;;;;;;;
Globularia bisnagarica;2021;;;;;;;;;;;;;;;;;;
Globularia cordifolia;2021;;;;;;4;;;;;;;;;;;;
Helictotrichon sedenense;2021;;;;;;;1;;;;;;;;;;;
Helictotrichon sempervirens;2021;;;;;;;;;;;;;;;;;;
Helianthemum nummularium;2021;;;;;;1;;;;;;;;;;;;
Hieracium morisianum;2021;;;;;;;;;;;;;;;;;;
Hieracium piliferum;2021;;;;;;;;;;;;;;;;;;1
Hieracium umbrosum;2021;;;;;;;;;;;;;;;;;;
Hieracium sp.;2021;;;;;;;;;;;;;;;;;;
