species;BER_carrelet_18;BER_carrelet_18;BER_carrip_18;BER_carrip_18;BER_claphp_18;BER_claphp_18;BER_lacrip_18;BER_lacrip_18;BER_lactor_18;BER_lactor_18;EYCH_meleze_18;EYCH_meleze_18;EYCH_torr1_18;EYCH_torr1_18;EYCH_torr2_18;EYCH_torr2_18;STANDRE_arpont_18;STANDRE_arpont_18;STANDRE_plah_18;STANDRE_plah_18;STANDRE_plabABCD_18;STANDRE_plabABCD_18;STANDRE_plabEFGH_18;STANDRE_plabEFGH_18;VALL_glabl_18;VALL_glabl_18;VALL_morba_18;VALL_morba_18;VALL_morhautABC_18;VALL_morhautABC_18;VALL_morhautDE_18;VALL_morhautDE_18;VILL_bas_18;VILL_bas_18;VILL_haut_18;VILL_haut_18;BER_carrelet_21;BER_carrelet_21;BER_carrip_21;BER_carrip_21;BER_claphp_21;BER_claphp_21;BER_lacrip_21;BER_lacrip_21;BER_lactor_21;BER_lactor_21;EYCH_meleze_21;EYCH_meleze_21;EYCH_torr1_21;EYCH_torr1_21;EYCH_torr2_21;EYCH_torr2_21;STANDRE_arpont_21;STANDRE_arpont_21;STANDRE_plah_21;STANDRE_plah_21;STANDRE_plabABCD_21;STANDRE_plabABCD_21;STANDRE_plabEFGH_21;STANDRE_plabEFGH_21;VALL_glabl_21;VALL_glabl_21;VALL_morba_21;VALL_morba_21;VALL_morhautABC_21;VALL_morhautABC_21;VALL_morhautDE_21;VALL_morhautDE_21;VILL_bas_21;VILL_bas_21;VILL_haut_21;VILL_haut_21
Campanula scheuchzeri;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;6%;1;;0;;0;;0;;0;;0;;;;;;;;;;;1;1;;0;;0;;;;;;;;;2;1;;0;;0;;0;;0;;0
Cardamine alpina;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Cardamine resedifolia;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;1;+;1;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;+;1;1;1;;0
Carduus defloratus;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;1;1
Centaurea nervosa;;0;10%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Cerastium alpinum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;1%;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Cerastium arvense;;0;;0;;0;+;1;;0;;0;;0;;0;;0;1%;1;;0;;0;+;1;;0;6%;1;;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;1;1;;0;;0;;0;1;1;;0
Clinopodium alpinum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;+;1;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Coincya richeri;;0;5%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Deschampsia flexuosa;;0;;0;;0;;0;;0;;0;3%;1;;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;10;1;;0;;0;;;;;;;;;;0;2;1;;0;;0;;0;;0
Dianthus saxicola;;0;;0;;0;;0;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;1;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Draba siliquosa;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Epilobium dodonaei;;0;;0;;0;+;1;;0;;0;15%;1;NA;1;;0;;0;;0;;0;;0;;0;;0;NA;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Epilobium fleischeri;1%;1;5%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;2%;1;;0;;0;;0;;0;;;;;;;;;;;;0;5;1;;0;;;;;;;;;;0;+;1;;0;;0;;0;;0
