species;BER_carrelet_18;BER_carrelet_18;BER_carrip_18;BER_carrip_18;BER_claphp_18;BER_claphp_18;BER_lacrip_18;BER_lacrip_18;BER_lactor_18;BER_lactor_18;EYCH_meleze_18;EYCH_meleze_18;EYCH_torr1_18;EYCH_torr1_18;EYCH_torr2_18;EYCH_torr2_18;STANDRE_arpont_18;STANDRE_arpont_18;STANDRE_plah_18;STANDRE_plah_18;STANDRE_plabABCD_18;STANDRE_plabABCD_18;STANDRE_plabEFGH_18;STANDRE_plabEFGH_18;VALL_glabl_18;VALL_glabl_18;VALL_morba_18;VALL_morba_18;VALL_morhautABC_18;VALL_morhautABC_18;VALL_morhautDE_18;VALL_morhautDE_18;VILL_bas_18;VILL_bas_18;VILL_haut_18;VILL_haut_18;BER_carrelet_21;BER_carrelet_21;BER_carrip_21;BER_carrip_21;BER_claphp_21;BER_claphp_21;BER_lacrip_21;BER_lacrip_21;BER_lactor_21;BER_lactor_21;EYCH_meleze_21;EYCH_meleze_21;EYCH_torr1_21;EYCH_torr1_21;EYCH_torr2_21;EYCH_torr2_21;STANDRE_arpont_21;STANDRE_arpont_21;STANDRE_plah_21;STANDRE_plah_21;STANDRE_plabABCD_21;STANDRE_plabABCD_21;STANDRE_plabEFGH_21;STANDRE_plabEFGH_21;VALL_glabl_21;VALL_glabl_21;VALL_morba_21;VALL_morba_21;VALL_morhautABC_21;VALL_morhautABC_21;VALL_morhautDE_21;VALL_morhautDE_21;VILL_bas_21;VILL_bas_21;VILL_haut_21;VILL_haut_21
Epilobium collinum;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;2%;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Equisetum sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;+;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Erigeron sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;3%;1;;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Erigeron uniflorus;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;2%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;2;1;;0;;0;2;1
Euphorbia cyparissias;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Euphrasia alpina;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Euphrasia minima;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;+;1;;0;;0;2;1
Euphrasia salizburgensis;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;+;1;;0;;0;;0;;0
Festuca sp.;;0;25%;1;;0;1%;1;;0;;0;3%;1;NA;1;5%;1;3%;1;1%;1;3%;1;;0;30%;1;10%;1;1%;1;8%;1;25%;1;;;;;;;;;;;;0;1;1;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Festuca quadriflora;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;24;1;;0;;0;2;1;25;1
Festuca rubra gp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;12;1;;0;1;1;;;;;;;;;;0;;0;;0;;0;;0;;0
Festuca violacea;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;10%;1;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;4;1;;0;5;1;+;1;1;1;;0
Galium obliquum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;1;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Galium pumilum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;1;1;;;;;;;;;;0;;0;;0;;0;;0;;0
Galium sp.;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Globularia bisnagarica;;0;;0;;0;;0;;0;5%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Globularia cordifolia;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;4;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Helictotrichon sedenense;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;1;1;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Helictotrichon sempervirens;;0;8%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Helianthemum nummularium;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;1;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Hieracium morisianum;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Hieracium piliferum;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;1;1
Hieracium umbrosum;;0;;0;;0;NA;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Hieracium sp.;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Hippophae rhamnoides;;0;;0;;0;3%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Imperatoria ostruthium;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;1%;1;+;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;+;1;;0;;0;;0;;0;;0
Jacobaea incana;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;6%;1;;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;1;1;;0;;0;;0
Juncus trifidus;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;10%;1;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;5;1;;0;;0;;0
Larix decidua;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;+;1;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Leontodon hispidus;;0;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Leontodon pyrenaicus;;0;+;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Leontodon sp.;;0;;0;;0;;0;;0;;0;;0;;0;1%;1;5%;1;;0;+;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Leucanthemopsis alpina;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;;0;2%;1;;1;;0;5%;1;;;;;;;;;;;;0;;0;;0;;;;;;;;;+;1;;0;+;1;+;1;;0;1;1
Lotus alpinus;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;20%;1;;0;;0;;0;1%;1;3%;1;;;;;;;;;;;1;1;;0;;0;;;;;;;;;20;1;;0;2;1;;0;1;1;3;1
Lotus corniculatus;;0;;0;;0;;0;;0;1%;1;;0;;0;5%;1;;0;2%;1;1%;1;;0;;0;6%;1;;1;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Luzula spicata;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;+;1;1%;1;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
Melampyrum pratense;;0;;0;;0;3%;1;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;0;;;;;;;;;;;;0;;0;;0;;;;;;;;;;0;;0;;0;;0;;0;;0
